sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text	ann	uncertainty	comment
n1i-920465-004	n1info	920465	kolumna	pol-drustvo	Kolumne/draza-petrovic	4	26	https://n1info.rs/kolumne/draza-petrovic/dzeki-cen-u-odbrani-srpskih-pandi/	Sve ih je manje, a sve je manje i onih koji bi glasali za naprednjake.	OBJ	Y	
n1i-648790-024	n1info	648790	kolumna	pol-drustvo	Kolumne/ljubodrag-stojadinovic	24	43	https://n1info.rs/kolumne/ljubodrag-stojadinovic/kolumna-ljubodraga-stojadinovica-izopaceno-lice-drzavne-prinude/	Ali ako stoji ocena o revoluciji, oboleli vrhovni bi mogao da se uhvati i vojske.	SUBJ		
rts-6035054-004	rts	6035054	vest	pol-drustvo	Politika	4	19	https://www.rts.rs/vesti/politika/6035054/izbori-u-srbiji.html	To je jedna politička poruka koju je predsednik Republike i kandidat sada za budućeg premijera hteo da pošalje, u smislu da hoće jednu manju i ozbiljniju vladu, rekao je Lukić.	OBJ		
n1i-927147-005	n1info	927147	kolumna	pol-drustvo	Kolumne	5	10	https://n1info.rs/kolumne/tri-i-po-godine-tehnicke-i-nestabilne-vladavine-naprednjaka/	Ovde je posebno važno naglasiti da je jedino Siniša Mali formalno član SNS-a, da se Đedović i Gajić navode kao nezavisni i nepolitički orijentisani ministri.	OBJ		
rts-6038178-004	rts	6038178	vest	svet	Svet	4	14	https://www.rts.rs/vesti/svet/6038178/cia-bela-kuca-11-septembar.html	Dokumenti ne donose velika nova otkrića, ali detaljno pokazuju koliko je CIA upozoravala Klintona, a kasnije i bivšeg predsednika Džordža Buša, na nameru Al Kaide i njenog vođe Osame Bin Ladena da napadnu SAD.	OBJ		
n1i-569098-009	n1info	569098	kolumna	svet	Kolumne/draza-petrovic	9	31	https://n1info.rs/kolumne/draza-petrovic/uskliknimo-s-ljubavlju-svetitelju-av-i/	Pojte mu, Srbi, Pesmu i utrojte!	SUBJ	Y	?ovo je samo citirani stih, mozda je i OBJ
n1i-181650-004	n1info	181650	vest	pol-drustvo	Nase price	4	20	https://n1info.rs/vesti/postari-kao-anketari-predsednik-vucic-pisao-penzionerima-crta-upozorava-na-ozbiljnu-zloupotrebu/	Naime, kako kaže, postavlja se pitanje zašto PIO fond, ukoliko je stvarno naručilac ovog posla, šalje pisma predsednika države svojim korisnicima.	OBJ		
n1i-422531-062	n1info	422531	vest	svet	Nase price	62	88	https://n1info.rs/svet/legendarni-boks-mec-dzo-luis-maks-smeling-ruzvelt-hitler/	Usledila su tri uzastopna nokdauna.	OBJ		
n1i-539601-003	n1info	539601	kolumna	pol-drustvo	Kolumne/draza-petrovic	3	29	https://n1info.rs/kolumne/draza-petrovic/cacilendologija-nauku-o-cacilendu-nova-kolumna-draze-petrovica/	Za razliku od onih originalnih ameba, u Pionirskom parku naslile su amebe koje žele da uče.	SUBJ		
n1i-867896-029	n1info	867896	kolumna	svet	Kolumne/ljubodrag-stojadinovic	29	48	https://n1info.rs/kolumne/ljubodrag-stojadinovic/tajna-kamilje-dlake/	Zapustio je i dogmu svog služenja koja mu nalaže da je dužan da se bori za svakog brava u svom toru.	SUBJ		
n1i-194167-054	n1info	194167	vest	pol-drustvo	Ustavokrsitelj	54	62	https://n1info.rs/ustavokrsitelj/nenadlezni-predsednik-vucic-i-tuzioci-od-pada-nastresnice-do-danas-od-sugestija-do-pretnji-gonjenjem/	Rektor Vladan Đokić je 17. aprila pozvan da se javi u policiju juče.	OBJ		
n1i-413363-015	n1info	413363	vest	pol-drustvo	Nase price	15	37	https://n1info.rs/vesti/vucic-pristina-i-formiranje-zajednice-srpskih-opstina/	"Njegov zamenik Petrit Seljimi objavio da će ZSO biti ""savet"", da Kosovo dobija pozivni broj, da se ""ilegalni"" energetski sistem na Severu integriše u kosovski i da se ""barikada – Park mira"" uklanja."	OBJ		
n1i-413598-013	n1info	413598	kolumna	svet	Kolumne/boris-dezulovic	13	23	https://n1info.rs/kolumne/boris-dezulovic/balada-o-ronaldu-iz-knina/	"Ili, ukratko: ""Mi napadamo Nepalce, Filipince i Indijce jer su se naselili ovdje i uzimaju nam posao."	OBJ	Y	koji mi? da li je ovo samo prenosenje misljenja
n1i-319384-026	n1info	319384	vest	pol-drustvo	Nase price	26	46	https://n1info.rs/svet/pravni-status-fetusa-kao-linosti-u-sad/	Ova sudska odluka je momentalno, u roku od nekoliko sati, paralisala rad vodećih klinika za plodnost širom ove savezne države.	OBJ		
n1i-286806-010	n1info	286806	kolumna	pol-drustvo	Kolumne/draza-petrovic	10	12	https://n1info.rs/kolumne/draza-petrovic/pokret-za-isti-sns-drugo-pakovanje/	To vam je placebo efekat – dovedeš doktora da ti kaže da ti je dobro, i ti si odmah ubeđen da ti je dobro, iako ti nije dobro.	SUBJ		
n1i-770591-022	n1info	770591	kolumna	pol-drustvo	Kolumne/draza-petrovic	22	31	https://n1info.rs/kolumne/draza-petrovic/besplatan-vodic-ukradi-sam-u-beogradu-kolumna-draze-petrovica/	Na njoj čak ne mogu ni da se peku paprike – pitao bi, recimo, da ga je sreo, onaj moj komšija, direktni predak motorizovanih Kelta, ponosni vlasnik kolekcije saobraćajnih znakova “zabranjeno parkiranje”.	SUBJ	Y	
n1i-413363-017	n1info	413363	vest	pol-drustvo	Nase price	17	37	https://n1info.rs/vesti/vucic-pristina-i-formiranje-zajednice-srpskih-opstina/	Ovaj plan je nastavak potpisanog Birselog sporazuma iz 2013. gpdne koji je u ime Beograda potpisao Ivica Dačić.	OBJ		
n1i-884250-028	n1info	884250	kolumna	sport	Kolumne/ljubodrag-stojadinovic	28	46	https://n1info.rs/kolumne/ljubodrag-stojadinovic/ciji-si-ti-stojkovicu/	Manje od njega zarađuje Didije Dešan, višestruki prvak sveta.	OBJ		
n1i-700571-006	n1info	700571	kolumna	pol-drustvo	Kolumne/draza-petrovic	6	23	https://n1info.rs/kolumne/draza-petrovic/domacin-godine-predsednik-opstine-indjija/	Jer to je tako ljudski.	SUBJ		
rts-6034000-008	rts	6034000	vest	pol-drustvo	Politika	8	18	https://www.rts.rs/vesti/politika/6034000/vlada-srbije-djuro-macut-izbori.html	Jer mandat ima svoj kraj, ali odgovornost prema državi traje svakog dana.	SUBJ	Y	
rts-6034000-009	rts	6034000	vest	pol-drustvo	Politika	9	18	https://www.rts.rs/vesti/politika/6034000/vlada-srbije-djuro-macut-izbori.html	"Uveren sam da će putem koji je trasirala i ova vlada nastaviti i u budućnosti, istakao je Macut."""	OBJ		
n1i-441823-051	n1info	441823	kolumna	svet	Kolumne/ljubodrag-stojadinovic	51	64	https://n1info.rs/kolumne/ljubodrag-stojadinovic/novogodisnja-arka/	U ovom bunkeru sada orgijaju ljudi koji vrede 1000 godina robije.	SUBJ		
rts-6033304-017	rts	6033304	vest	svet	Svet	17	33	https://www.rts.rs/vesti/svet/6033304/sad-kanada-australija-kina-tajvan.html	On je nesumnjivo podrio ugled SAD u svetu.	SUBJ		
rts-6033304-018	rts	6033304	vest	svet	Svet	18	33	https://www.rts.rs/vesti/svet/6033304/sad-kanada-australija-kina-tajvan.html	"Nesposobnost SAD da uspeju u konfliktu sa Iranom je neverovatna - ko bi pomislio da je to moguće?, čudi se Turnbul."""	OBJ		citat, ali navodnici nisu dobri
