config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w1-tf-lower	logreg	plain	4	0.7247	0.7775	0.6719	0.7348	313	10	5789
w1-tf-lower	logreg	plain	5	0.707	0.766	0.648	0.7188	313	10	5692
w1-tf-lower	logreg	plain	6	0.6757	0.7441	0.6073	0.6901	313	10	5699
w1-tf-lower	logreg	plain	7	0.661	0.7423	0.5798	0.6805	313	10	5697
w1-tf-lower	logreg	plain	8	0.6556	0.7174	0.5938	0.6667	312	10	5723
w1-tf-lower	logreg	plain	9	0.6989	0.7606	0.6371	0.7115	312	10	5754
w1-tf-lower	logreg	grouped	0	0.6641	0.7404	0.5878	0.6814	317	10	5758
w1-tf-lower	logreg	grouped	1	0.6689	0.7506	0.5872	0.6891	312	10	5698
w1-tf-lower	logreg	grouped	2	0.6762	0.7317	0.6207	0.6857	315	10	5765
w1-tf-lower	logreg	grouped	3	0.65	0.724	0.576	0.6656	317	10	5782
w1-tf-lower	logreg	grouped	4	0.6842	0.7184	0.65	0.6879	314	10	5748
w1-tf-lower	logreg	grouped	5	0.6625	0.7307	0.5944	0.6763	312	10	5755
w1-tf-lower	logreg	grouped	6	0.639	0.7221	0.556	0.6581	313	10	5741
w1-tf-lower	logreg	grouped	7	0.7302	0.7756	0.6848	0.7379	309	10	5782
w1-tf-lower	logreg	grouped	8	0.7032	0.7704	0.636	0.7184	309	10	5745
w1-tf-lower	logreg	grouped	9	0.7236	0.7726	0.6745	0.7323	310	10	5736
w1-tf-lower	nb	plain	0	0.7122	0.7655	0.6588	0.722	313	0.1	5743
w1-tf-lower	nb	plain	1	0.7076	0.7562	0.659	0.7157	313	0.1	5697
w1-tf-lower	nb	plain	2	0.7333	0.7793	0.6873	0.7412	313	0.1	5771
w1-tf-lower	nb	plain	3	0.6526	0.717	0.5882	0.6645	313	0.1	5755
w1-tf-lower	nb	plain	4	0.7181	0.7721	0.664	0.7284	313	0.1	5789
w1-tf-lower	nb	plain	5	0.6901	0.7446	0.6357	0.6997	313	0.1	5692
w1-tf-lower	nb	plain	6	0.724	0.7787	0.6693	0.7348	313	0.1	5699
w1-tf-lower	nb	plain	7	0.6728	0.7481	0.5975	0.6901	313	0.1	5697
w1-tf-lower	nb	plain	8	0.6664	0.7135	0.6194	0.6731	312	0.1	5723
w1-tf-lower	nb	plain	9	0.7316	0.7884	0.6748	0.7436	312	0.1	5754
w1-tf-lower	nb	grouped	0	0.6564	0.7366	0.5761	0.6751	317	0.01	5758
w1-tf-lower	nb	grouped	1	0.6643	0.7278	0.6008	0.6763	312	0.1	5698
w1-tf-lower	nb	grouped	2	0.6753	0.7238	0.6269	0.6825	315	0.1	5765
w1-tf-lower	nb	grouped	3	0.6152	0.6929	0.5375	0.6309	317	0.1	5782
w1-tf-lower	nb	grouped	4	0.6687	0.7014	0.636	0.672	314	0.1	5748
w1-tf-lower	nb	grouped	5	0.7175	0.7709	0.664	0.7276	312	0.1	5755
w1-tf-lower	nb	grouped	6	0.6566	0.7268	0.5863	0.6709	313	0.1	5741
w1-tf-lower	nb	grouped	7	0.6999	0.7601	0.6397	0.712	309	0.1	5782
w1-tf-lower	nb	grouped	8	0.7297	0.7927	0.6667	0.7443	309	0.1	5745
w1-tf-lower	nb	grouped	9	0.6902	0.7452	0.6353	0.7	310	0.1	5736
w1-tfidf-nolower	logreg	plain	0	0.7158	0.7676	0.6641	0.7252	313	10	5915
w1-tfidf-nolower	logreg	plain	1	0.7118	0.7569	0.6667	0.7188	313	10	5858
w1-tfidf-nolower	logreg	plain	2	0.7069	0.7575	0.6564	0.7157	313	10	5938
w1-tfidf-nolower	logreg	plain	3	0.6738	0.7467	0.6008	0.6901	313	10	5938
w1-tfidf-nolower	logreg	plain	4	0.7063	0.7588	0.6537	0.7157	313	10	5962
w1-tfidf-nolower	logreg	plain	5	0.704	0.7541	0.6538	0.7125	313	10	5867
w1-tfidf-nolower	logreg	plain	6	0.6989	0.7547	0.6431	0.7093	313	10	5870
w1-tfidf-nolower	logreg	plain	7	0.6267	0.7102	0.5432	0.6454	313	10	5871
w1-tfidf-nolower	logreg	plain	8	0.6835	0.7363	0.6308	0.6923	312	10	5899
w1-tfidf-nolower	logreg	plain	9	0.6942	0.7599	0.6286	0.7083	312	10	5922
w1-tfidf-nolower	logreg	grouped	0	0.6458	0.7296	0.562	0.6656	317	10	5924
w1-tfidf-nolower	logreg	grouped	1	0.6518	0.7154	0.5882	0.6635	312	10	5875
w1-tfidf-nolower	logreg	grouped	2	0.6673	0.7307	0.6039	0.6794	315	10	5940
w1-tfidf-nolower	logreg	grouped	3	0.5845	0.6631	0.5058	0.5994	317	10	5957
w1-tfidf-nolower	logreg	grouped	4	0.6911	0.7225	0.6596	0.6943	314	10	5915
w1-tfidf-nolower	logreg	grouped	5	0.6946	0.7514	0.6378	0.7051	312	10	5929
w1-tfidf-nolower	logreg	grouped	6	0.6295	0.7135	0.5455	0.6486	313	10	5908
w1-tfidf-nolower	logreg	grouped	7	0.6826	0.7288	0.6364	0.6893	309	10	5959
w1-tfidf-nolower	logreg	grouped	8	0.6837	0.7533	0.6141	0.699	309	10	5898
w1-tfidf-nolower	logreg	grouped	9	0.7006	0.7527	0.6484	0.7097	310	10	5896
w1-tfidf-nolower	nb	plain	0	0.7224	0.773	0.6719	0.7316	313	0.5	5915
w1-tfidf-nolower	nb	plain	1	0.7129	0.7542	0.6716	0.7188	313	0.1	5858
w1-tfidf-nolower	nb	plain	2	0.7365	0.7718	0.7011	0.7412	313	0.1	5938
w1-tfidf-nolower	nb	plain	3	0.6608	0.7193	0.6023	0.6709	313	0.1	5938
w1-tfidf-nolower	nb	plain	4	0.7099	0.7609	0.6589	0.7188	313	0.1	5962
w1-tfidf-nolower	nb	plain	5	0.6637	0.7228	0.6047	0.6741	313	0.5	5867
w1-tfidf-nolower	nb	plain	6	0.6974	0.7486	0.6462	0.7061	313	0.1	5870
w1-tfidf-nolower	nb	plain	7	0.6882	0.7629	0.6134	0.7061	313	0.5	5871
w1-tfidf-nolower	nb	plain	8	0.6516	0.6952	0.6081	0.6571	312	0.1	5899
w1-tfidf-nolower	nb	plain	9	0.7375	0.7947	0.6803	0.75	312	0.5	5922
w1-tfidf-nolower	nb	grouped	0	0.6716	0.7368	0.6063	0.6845	317	0.1	5924
w1-tfidf-nolower	nb	grouped	1	0.6614	0.7243	0.5984	0.6731	312	0.5	5875
w1-tfidf-nolower	nb	grouped	2	0.6769	0.7302	0.6236	0.6857	315	0.1	5940
w1-tfidf-nolower	nb	grouped	3	0.6236	0.7031	0.544	0.6404	317	0.5	5957
w1-tfidf-nolower	nb	grouped	4	0.6733	0.6982	0.6483	0.6752	314	0.1	5915
w1-tfidf-nolower	nb	grouped	5	0.7135	0.7603	0.6667	0.7212	312	0.1	5929
w1-tfidf-nolower	nb	grouped	6	0.6345	0.7139	0.5551	0.6518	313	0.5	5908
w1-tfidf-nolower	nb	grouped	7	0.6866	0.7566	0.6167	0.7023	309	0.5	5959
w1-tfidf-nolower	nb	grouped	8	0.6923	0.756	0.6286	0.7055	309	0.1	5898
w1-tfidf-nolower	nb	grouped	9	0.6836	0.7397	0.6275	0.6935	310	0.1	5896
w13-tfidf-nolower	logreg	plain	0	0.704	0.7627	0.6454	0.7157	313	10	11067
w13-tfidf-nolower	logreg	plain	1	0.7217	0.7742	0.6693	0.7316	313	10	10898
w13-tfidf-nolower	logreg	plain	2	0.7099	0.7609	0.6589	0.7188	313	10	11057
w13-tfidf-nolower	logreg	plain	3	0.6696	0.7297	0.6094	0.6805	313	100	11053
w13-tfidf-nolower	logreg	plain	4	0.6945	0.754	0.6349	0.7061	313	10	11046
w13-tfidf-nolower	logreg	plain	5	0.6777	0.7322	0.6231	0.6869	313	10	10929
w13-tfidf-nolower	logreg	plain	6	0.6783	0.7399	0.6166	0.6901	313	10	10978
w13-tfidf-nolower	logreg	plain	7	0.6309	0.704	0.5578	0.6454	313	10	10932
w13-tfidf-nolower	logreg	plain	8	0.6486	0.6914	0.6058	0.6538	312	100	10920
w13-tfidf-nolower	logreg	plain	9	0.7293	0.784	0.6747	0.7404	312	10	10971
w13-tfidf-nolower	logreg	grouped	0	0.6435	0.7323	0.5546	0.6656	317	10	11143
w13-tfidf-nolower	logreg	grouped	1	0.6152	0.7016	0.5289	0.6346	312	10	10932
w13-tfidf-nolower	logreg	grouped	2	0.671	0.7326	0.6094	0.6825	315	10	11000
w13-tfidf-nolower	logreg	grouped	3	0.6031	0.6807	0.5255	0.6183	317	100	11094
w13-tfidf-nolower	logreg	grouped	4	0.6604	0.7025	0.6182	0.6656	314	10	11109
w13-tfidf-nolower	logreg	grouped	5	0.6946	0.7514	0.6378	0.7051	312	10	11081
w13-tfidf-nolower	logreg	grouped	6	0.6289	0.7071	0.5506	0.6454	313	10	11070
w13-tfidf-nolower	logreg	grouped	7	0.6879	0.7374	0.6385	0.6958	309	10	11214
w13-tfidf-nolower	logreg	grouped	8	0.6526	0.7302	0.575	0.6699	309	10	11079
w13-tfidf-nolower	logreg	grouped	9	0.6761	0.7357	0.6166	0.6871	310	10	10975
w13-tfidf-nolower	nb	plain	0	0.7314	0.7735	0.6894	0.738	313	0.1	11067
w13-tfidf-nolower	nb	plain	1	0.7267	0.7738	0.6795	0.7348	313	0.1	10898
w13-tfidf-nolower	nb	plain	2	0.7282	0.7586	0.6978	0.7316	313	0.1	11057
w13-tfidf-nolower	nb	plain	3	0.6564	0.7344	0.5785	0.6741	313	0.5	11053
w13-tfidf-nolower	nb	plain	4	0.7088	0.7535	0.6642	0.7157	313	0.1	11046
w13-tfidf-nolower	nb	plain	5	0.6909	0.7324	0.6494	0.6965	313	0.1	10929
w13-tfidf-nolower	nb	plain	6	0.7003	0.752	0.6486	0.7093	313	0.1	10978
w13-tfidf-nolower	nb	plain	7	0.6952	0.7527	0.6378	0.7061	313	0.1	10932
w13-tfidf-nolower	nb	plain	8	0.6332	0.6744	0.5921	0.6378	312	0.1	10920
w13-tfidf-nolower	nb	plain	9	0.7505	0.7889	0.7121	0.7564	312	0.1	10971
w13-tfidf-nolower	nb	grouped	0	0.6613	0.7297	0.5929	0.6751	317	0.1	11143
w13-tfidf-nolower	nb	grouped	1	0.6319	0.7074	0.5565	0.6474	312	0.5	10932
w13-tfidf-nolower	nb	grouped	2	0.6834	0.7357	0.6312	0.6921	315	0.1	11000
w13-tfidf-nolower	nb	grouped	3	0.6616	0.7107	0.6125	0.6688	317	0.1	11094
w13-tfidf-nolower	nb	grouped	4	0.6571	0.6844	0.6298	0.6592	314	0.1	11109
w13-tfidf-nolower	nb	grouped	5	0.7037	0.7407	0.6667	0.7083	312	0.1	11081
w13-tfidf-nolower	nb	grouped	6	0.6856	0.7348	0.6364	0.6933	313	0.1	11070
w13-tfidf-nolower	nb	grouped	7	0.7003	0.7672	0.6333	0.7152	309	0.5	11214
w13-tfidf-nolower	nb	grouped	8	0.7066	0.7569	0.6562	0.7152	309	0.1	11079
w13-tfidf-nolower	nb	grouped	9	0.6959	0.743	0.6489	0.7032	310	0.1	10975
