config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w12-tfidf-lower	logreg	plain	4	0.7303	0.776	0.6846	0.738	313	10	9936
w12-tfidf-lower	logreg	plain	5	0.6745	0.738	0.6111	0.6869	313	10	9832
w12-tfidf-lower	logreg	plain	6	0.7099	0.7692	0.6506	0.722	313	10	9836
w12-tfidf-lower	logreg	plain	7	0.6486	0.7306	0.5667	0.6677	313	10	9796
w12-tfidf-lower	logreg	plain	8	0.6622	0.7131	0.6113	0.6699	312	10	9829
w12-tfidf-lower	logreg	plain	9	0.7189	0.7766	0.6613	0.7308	312	10	9862
w12-tfidf-lower	logreg	grouped	0	0.6536	0.7333	0.5738	0.6719	317	10	9955
w12-tfidf-lower	logreg	grouped	1	0.65	0.7263	0.5738	0.6667	312	10	9839
w12-tfidf-lower	logreg	grouped	2	0.6726	0.7297	0.6154	0.6825	315	10	9893
w12-tfidf-lower	logreg	grouped	3	0.6218	0.6898	0.5538	0.6341	317	100	9958
w12-tfidf-lower	logreg	grouped	4	0.6906	0.7241	0.6571	0.6943	314	10	9937
w12-tfidf-lower	logreg	grouped	5	0.6975	0.7547	0.6403	0.7083	312	10	9955
w12-tfidf-lower	logreg	grouped	6	0.644	0.7225	0.5656	0.6613	313	10	9922
w12-tfidf-lower	logreg	grouped	7	0.7151	0.7584	0.6718	0.7217	309	10	10030
w12-tfidf-lower	logreg	grouped	8	0.7012	0.766	0.6364	0.7152	309	10	9963
w12-tfidf-lower	logreg	grouped	9	0.691	0.7438	0.6381	0.7	310	10	9895
w12-tfidf-lower	nb	plain	0	0.7365	0.7718	0.7011	0.7412	313	0.1	9928
w12-tfidf-lower	nb	plain	1	0.7213	0.7658	0.6768	0.7284	313	0.1	9815
w12-tfidf-lower	nb	plain	2	0.743	0.7775	0.7085	0.7476	313	0.1	9952
w12-tfidf-lower	nb	plain	3	0.6519	0.6986	0.6052	0.6581	313	0.1	9929
w12-tfidf-lower	nb	plain	4	0.7112	0.7582	0.6641	0.7188	313	0.1	9936
w12-tfidf-lower	nb	plain	5	0.6856	0.7348	0.6364	0.6933	313	0.1	9832
w12-tfidf-lower	nb	plain	6	0.7033	0.7554	0.6512	0.7125	313	0.1	9836
w12-tfidf-lower	nb	plain	7	0.6701	0.7576	0.5826	0.6933	313	0.5	9796
w12-tfidf-lower	nb	plain	8	0.6392	0.6819	0.5964	0.6442	312	0.1	9829
w12-tfidf-lower	nb	plain	9	0.7555	0.7978	0.7132	0.7628	312	0.1	9862
w12-tfidf-lower	nb	grouped	0	0.6847	0.7474	0.622	0.6972	317	0.1	9955
w12-tfidf-lower	nb	grouped	1	0.6706	0.7139	0.6273	0.6763	312	0.1	9839
w12-tfidf-lower	nb	grouped	2	0.7019	0.7444	0.6593	0.7079	315	0.1	9893
w12-tfidf-lower	nb	grouped	3	0.6394	0.7008	0.5779	0.6498	317	0.1	9958
w12-tfidf-lower	nb	grouped	4	0.6692	0.6997	0.6386	0.672	314	0.1	9937
w12-tfidf-lower	nb	grouped	5	0.7039	0.7514	0.6565	0.7115	312	0.1	9955
w12-tfidf-lower	nb	grouped	6	0.6987	0.7459	0.6515	0.7061	313	0.1	9922
w12-tfidf-lower	nb	grouped	7	0.7115	0.7563	0.6667	0.7184	309	0.1	10030
w12-tfidf-lower	nb	grouped	8	0.7229	0.7713	0.6745	0.7314	309	0.1	9963
w12-tfidf-lower	nb	grouped	9	0.7013	0.7514	0.6512	0.7097	310	0.1	9895
w13-tfidf-lower	logreg	plain	0	0.7343	0.7861	0.6825	0.7444	313	10	11116
w13-tfidf-lower	logreg	plain	1	0.7062	0.7672	0.6452	0.7188	313	10	10961
w13-tfidf-lower	logreg	plain	2	0.7019	0.7581	0.6457	0.7125	313	10	11128
w13-tfidf-lower	logreg	plain	3	0.6666	0.7263	0.607	0.6773	313	10	11099
w13-tfidf-lower	logreg	plain	4	0.7297	0.7772	0.6822	0.738	313	10	11097
w13-tfidf-lower	logreg	plain	5	0.6766	0.7427	0.6104	0.6901	313	10	10958
w13-tfidf-lower	logreg	plain	6	0.7032	0.7639	0.6426	0.7157	313	10	11014
w13-tfidf-lower	logreg	plain	7	0.6447	0.7287	0.5607	0.6645	313	10	10955
w13-tfidf-lower	logreg	plain	8	0.6629	0.7115	0.6142	0.6699	312	10	10957
w13-tfidf-lower	logreg	plain	9	0.7197	0.7754	0.664	0.7308	312	10	11016
w13-tfidf-lower	logreg	grouped	0	0.6536	0.7333	0.5738	0.6719	317	10	11177
w13-tfidf-lower	logreg	grouped	1	0.6405	0.7177	0.5633	0.6571	312	10	10992
w13-tfidf-lower	logreg	grouped	2	0.6951	0.7493	0.6409	0.7048	315	10	11032
w13-tfidf-lower	logreg	grouped	3	0.6021	0.6824	0.5217	0.6183	317	10	11132
w13-tfidf-lower	logreg	grouped	4	0.6872	0.7221	0.6523	0.6911	314	10	11149
w13-tfidf-lower	logreg	grouped	5	0.7012	0.7568	0.6457	0.7115	312	10	11129
w13-tfidf-lower	logreg	grouped	6	0.6412	0.7192	0.5633	0.6581	313	10	11120
w13-tfidf-lower	logreg	grouped	7	0.7151	0.7584	0.6718	0.7217	309	10	11250
w13-tfidf-lower	logreg	grouped	8	0.6991	0.7614	0.6367	0.712	309	10	11160
w13-tfidf-lower	logreg	grouped	9	0.7006	0.7527	0.6484	0.7097	310	10	11044
w13-tfidf-lower	nb	plain	0	0.7499	0.7819	0.7179	0.754	313	0.1	11116
w13-tfidf-lower	nb	plain	1	0.7249	0.768	0.6818	0.7316	313	0.1	10961
w13-tfidf-lower	nb	plain	2	0.7395	0.7753	0.7037	0.7444	313	0.1	11128
w13-tfidf-lower	nb	plain	3	0.6649	0.7099	0.6199	0.6709	313	0.1	11099
w13-tfidf-lower	nb	plain	4	0.7118	0.7569	0.6667	0.7188	313	0.1	11097
w13-tfidf-lower	nb	plain	5	0.6786	0.7474	0.6098	0.6933	313	0.5	10958
w13-tfidf-lower	nb	plain	6	0.6974	0.7486	0.6462	0.7061	313	0.1	11014
w13-tfidf-lower	nb	plain	7	0.6781	0.7614	0.5948	0.6997	313	0.5	10955
w13-tfidf-lower	nb	plain	8	0.6402	0.6783	0.6022	0.6442	312	0.1	10957
w13-tfidf-lower	nb	plain	9	0.756	0.7967	0.7154	0.7628	312	0.1	11016
w13-tfidf-lower	nb	grouped	0	0.679	0.7407	0.6172	0.6909	317	0.1	11177
w13-tfidf-lower	nb	grouped	1	0.6641	0.7082	0.6199	0.6699	312	0.1	10992
w13-tfidf-lower	nb	grouped	2	0.7013	0.7459	0.6567	0.7079	315	0.1	11032
w13-tfidf-lower	nb	grouped	3	0.643	0.7027	0.5833	0.653	317	0.1	11132
w13-tfidf-lower	nb	grouped	4	0.6601	0.6882	0.6319	0.6624	314	0.1	11149
w13-tfidf-lower	nb	grouped	5	0.695	0.7409	0.6491	0.7019	312	0.1	11129
w13-tfidf-lower	nb	grouped	6	0.7088	0.7535	0.6642	0.7157	313	0.1	11120
w13-tfidf-lower	nb	grouped	7	0.7217	0.764	0.6794	0.7282	309	0.1	11250
w13-tfidf-lower	nb	grouped	8	0.7266	0.7735	0.6797	0.7346	309	0.1	11160
w13-tfidf-lower	nb	grouped	9	0.7055	0.7521	0.659	0.7129	310	0.1	11044
w12-tf-lower	logreg	plain	0	0.7403	0.7926	0.688	0.7508	313	10	9928
w12-tf-lower	logreg	plain	1	0.6959	0.7668	0.625	0.7125	313	10	9815
w12-tf-lower	logreg	plain	2	0.7011	0.7594	0.6429	0.7125	313	10	9952
w12-tf-lower	logreg	plain	3	0.6575	0.7253	0.5896	0.6709	313	10	9929
w12-tf-lower	logreg	plain	4	0.7297	0.7772	0.6822	0.738	313	10	9936
w12-tf-lower	logreg	plain	5	0.6828	0.7405	0.625	0.6933	313	10	9832
w12-tf-lower	logreg	plain	6	0.6978	0.7644	0.6311	0.7125	313	10	9836
w12-tf-lower	logreg	plain	7	0.661	0.7423	0.5798	0.6805	313	10	9796
w12-tf-lower	logreg	plain	8	0.6579	0.7127	0.6031	0.6667	312	10	9829
w12-tf-lower	logreg	plain	9	0.7182	0.7696	0.6667	0.7276	312	100	9862
w12-tf-lower	logreg	grouped	0	0.6592	0.7398	0.5785	0.6782	317	10	9955
w12-tf-lower	logreg	grouped	1	0.6451	0.7258	0.5643	0.6635	312	10	9839
w12-tf-lower	logreg	grouped	2	0.6581	0.7123	0.6038	0.6667	315	100	9893
w12-tf-lower	logreg	grouped	3	0.617	0.6979	0.536	0.6341	317	10	9958
w12-tf-lower	logreg	grouped	4	0.6927	0.7309	0.6545	0.6975	314	100	9937
w12-tf-lower	logreg	grouped	5	0.6901	0.7507	0.6295	0.7019	312	10	9955
w12-tf-lower	logreg	grouped	6	0.6366	0.7109	0.5622	0.6518	313	100	9922
w12-tf-lower	logreg	grouped	7	0.7289	0.7684	0.6894	0.7346	309	10	10030
w12-tf-lower	logreg	grouped	8	0.6964	0.7652	0.6276	0.712	309	10	9963
w12-tf-lower	logreg	grouped	9	0.6917	0.7514	0.632	0.7032	310	10	9895
w12-tf-lower	nb	plain	0	0.747	0.789	0.705	0.754	313	0.1	9928
w12-tf-lower	nb	plain	1	0.7213	0.7658	0.6768	0.7284	313	0.1	9815
w12-tf-lower	nb	plain	2	0.7581	0.7944	0.7218	0.7636	313	0.1	9952
w12-tf-lower	nb	plain	3	0.6682	0.7233	0.613	0.6773	313	0.1	9929
w12-tf-lower	nb	plain	4	0.7273	0.7726	0.682	0.7348	313	0.1	9936
w12-tf-lower	nb	plain	5	0.704	0.7541	0.6538	0.7125	313	0.1	9832
w12-tf-lower	nb	plain	6	0.7122	0.7655	0.6588	0.722	313	0.1	9836
w12-tf-lower	nb	plain	7	0.7091	0.7704	0.6478	0.722	313	0.1	9796
w12-tf-lower	nb	plain	8	0.6557	0.6954	0.6159	0.6603	312	0.1	9829
w12-tf-lower	nb	plain	9	0.7447	0.7913	0.698	0.7532	312	0.1	9862
w12-tf-lower	nb	grouped	0	0.6792	0.7481	0.6104	0.694	317	0.1	9955
w12-tf-lower	nb	grouped	1	0.6535	0.7123	0.5946	0.6635	312	0.1	9839
w12-tf-lower	nb	grouped	2	0.7125	0.7609	0.6641	0.7206	315	0.1	9893
w12-tf-lower	nb	grouped	3	0.6414	0.7059	0.5769	0.653	317	0.1	9958
w12-tf-lower	nb	grouped	4	0.6653	0.6994	0.6312	0.6688	314	0.1	9937
w12-tf-lower	nb	grouped	5	0.699	0.752	0.6459	0.7083	312	0.1	9955
w12-tf-lower	nb	grouped	6	0.693	0.748	0.6381	0.7029	313	0.1	9922
w12-tf-lower	nb	grouped	7	0.7096	0.7603	0.6588	0.7184	309	0.1	10030
w12-tf-lower	nb	grouped	8	0.7223	0.7807	0.6639	0.7346	309	0.1	9963
w12-tf-lower	nb	grouped	9	0.7122	0.7577	0.6667	0.7194	310	0.1	9895
w13-tf-lower	logreg	plain	0	0.7336	0.7872	0.68	0.7444	313	10	11116
w13-tf-lower	logreg	plain	1	0.6901	0.7604	0.6198	0.7061	313	10	10961
w13-tf-lower	logreg	plain	2	0.704	0.7627	0.6454	0.7157	313	10	11128
w13-tf-lower	logreg	plain	3	0.6613	0.7273	0.5952	0.6741	313	10	11099
w13-tf-lower	logreg	plain	4	0.7386	0.7871	0.6902	0.7476	313	10	11097
w13-tf-lower	logreg	plain	5	0.6703	0.7283	0.6124	0.6805	313	10	10958
w13-tf-lower	logreg	plain	6	0.6978	0.7644	0.6311	0.7125	313	10	11014
w13-tf-lower	logreg	plain	7	0.665	0.7442	0.5858	0.6837	313	10	10955
w13-tf-lower	logreg	plain	8	0.6608	0.7163	0.6054	0.6699	312	10	10957
w13-tf-lower	logreg	plain	9	0.7108	0.7655	0.6561	0.7212	312	100	11016
w13-tf-lower	logreg	grouped	0	0.662	0.743	0.5809	0.6814	317	10	11177
w13-tf-lower	logreg	grouped	1	0.6508	0.7325	0.569	0.6699	312	10	10992
w13-tf-lower	logreg	grouped	2	0.6966	0.7553	0.6378	0.7079	315	10	11032
w13-tf-lower	logreg	grouped	3	0.6131	0.6961	0.5301	0.6309	317	10	11132
w13-tf-lower	logreg	grouped	4	0.6927	0.7309	0.6545	0.6975	314	100	11149
w13-tf-lower	logreg	grouped	5	0.6834	0.7453	0.6215	0.6955	312	10	11129
w13-tf-lower	logreg	grouped	6	0.6461	0.7196	0.5726	0.6613	313	10	11120
w13-tf-lower	logreg	grouped	7	0.7283	0.7697	0.687	0.7346	309	10	11250
w13-tf-lower	logreg	grouped	8	0.7041	0.7692	0.639	0.7184	309	10	11160
w13-tf-lower	logreg	grouped	9	0.6984	0.7568	0.64	0.7097	310	10	11044
w13-tf-lower	nb	plain	0	0.7525	0.7967	0.7082	0.7604	313	0.1	11116
w13-tf-lower	nb	plain	1	0.7183	0.7624	0.6742	0.7252	313	0.1	10961
w13-tf-lower	nb	plain	2	0.746	0.7809	0.7111	0.7508	313	0.1	11128
w13-tf-lower	nb	plain	3	0.6784	0.7308	0.626	0.6869	313	0.1	11099
w13-tf-lower	nb	plain	4	0.7243	0.7692	0.6794	0.7316	313	0.1	11097
w13-tf-lower	nb	plain	5	0.6967	0.75	0.6434	0.7061	313	0.1	10958
w13-tf-lower	nb	plain	6	0.7026	0.7568	0.6484	0.7125	313	0.1	11014
w13-tf-lower	nb	plain	7	0.7062	0.7672	0.6452	0.7188	313	0.1	10955
w13-tf-lower	nb	plain	8	0.6502	0.686	0.6143	0.6538	312	0.1	10957
w13-tf-lower	nb	plain	9	0.7453	0.7902	0.7004	0.7532	312	0.1	11016
w13-tf-lower	nb	grouped	0	0.6744	0.7402	0.6087	0.6877	317	0.1	11177
w13-tf-lower	nb	grouped	1	0.641	0.6997	0.5824	0.6506	312	0.1	10992
w13-tf-lower	nb	grouped	2	0.703	0.752	0.654	0.7111	315	0.1	11032
w13-tf-lower	nb	grouped	3	0.6531	0.71	0.5962	0.6625	317	0.1	11132
w13-tf-lower	nb	grouped	4	0.6752	0.7072	0.6431	0.6783	314	0.1	11149
w13-tf-lower	nb	grouped	5	0.6872	0.7383	0.636	0.6955	312	0.1	11129
w13-tf-lower	nb	grouped	6	0.7003	0.752	0.6486	0.7093	313	0.1	11120
w13-tf-lower	nb	grouped	7	0.7163	0.7658	0.6667	0.7249	309	0.1	11250
w13-tf-lower	nb	grouped	8	0.7246	0.7772	0.672	0.7346	309	0.1	11160
w13-tf-lower	nb	grouped	9	0.7092	0.7542	0.6641	0.7161	310	0.1	11044
